region,value,population,normalized
Белгородская область,46.0,1482025,3.10386127089624
Брянская область,53.0,1132795,4.678692967394806
Владимирская область,62.0,1297936,4.776814881473355
Воронежская область,79.0,2260045,3.495505620463309
Ивановская область,52.0,898490,5.787487896359448
Калужская область,35.0,1066601,3.281452014389636
Костромская область,42.0,560825,7.488967146614363
Курская область,51.0,1049783,4.858146874163517
Липецкая область,47.0,1108295,4.240748176252713
Московская область,167.0,8775735,1.9029745086878762
Орловская область,37.0,686181,5.392163292192585
Рязанская область,42.0,1074402,3.9091513232477233
Смоленская область,41.0,857096,4.78359483651773
Тамбовская область,45.0,946657,4.7535696667325125
Тверская область,72.0,1190574,6.047503137142252
Тульская область,50.0,1456791,3.4322013246924237
Ярославская область,45.0,1180174,3.812997066534257
Республика Карелия,34.0,518950,6.551690914346276
Республика Коми,45.0,714785,6.295599376036152
Архангельская область,49.0,947528,5.171351136852948
Ненецкий автономный округ,2.0,41906,4.772586264496731
Вологодская область,54.0,1115371,4.8414384092826515
Калининградская область,47.0,1032904,4.550277663751907
Ленинградская область,50.0,2059479,2.4277984868988707
Мурманская область,37.0,651363,5.680396338140177
Новгородская область,36.0,566960,6.3496542965994065
Псковская область,33.0,574480,5.744325302882607
Республика Адыгея,21.0,500731,4.1938685641591995
Республика Калмыкия,23.0,267588,8.595303227349508
Республика Крым,56.0,1902249,2.9438837922900736
Краснодарский край,149.0,5842238,2.550392503694646
Астраханская область,35.0,946580,3.6975216040905154
Волгоградская область,84.0,2434046,3.451044064080958
Ростовская область,122.0,4137335,2.948758077361393
Республика Дагестан,116.0,3259890,3.5584022773774575
Республика Ингушетия,16.0,534491,2.9935022292236915
Кабардино-Балкарская Республика,35.0,908214,3.8537172957034356
Карачаево-Черкесская Республика,20.0,468599,4.2680415451164
Республика Северная Осетия - Алания,31.0,678826,4.566707816141397
Чеченская Республика,65.0,1576552,4.122921413312088
Ставропольский край,81.0,2884363,2.808245702777355
Республика Башкортостан,100.0,4042377,2.4737920287988975
Республика Марий Эл,29.0,666202,4.3530340647431265
Республика Мордовия,33.0,758895,4.34842764809361
Республика Татарстан,91.0,4019606,2.26390347710696
Удмуртская Республика,64.0,1427282,4.484047301093967
Чувашская Республика,48.0,1159768,4.138758786240007
Пермский край,70.0,2483633,2.8184518405094474
Кировская область,68.0,1120412,6.069195974338011
Нижегородская область,136.0,3039421,4.474536433090381
Оренбургская область,68.0,1816898,3.742642679996345
Пензенская область,42.0,1226878,3.4233232644158584
Самарская область,88.0,3112566,2.827249285637638
Саратовская область,100.0,2369405,4.220468851884756
Ульяновская область,58.0,1165334,4.977113857486351
Курганская область,33.0,744465,4.432713425077069
Свердловская область,144.0,4221452,3.4111485811043214
Ямало-Ненецкий автономный округ,25.0,523105,4.779155236520393
Челябинская область,116.0,3385124,3.4267577790355683
Республика Алтай,18.0,210095,8.567552773745211
Республика Тыва,29.0,338483,8.567638552009997
Республика Хакасия,26.0,525557,4.947132280608954
Алтайский край,124.0,2099186,5.907051590473641
Красноярский край,124.0,2837988,4.369292611526194
Иркутская область,88.0,2322292,3.7893598221067806
Новосибирская область,113.0,2786540,4.055208251092753
Омская область,86.0,1805806,4.76241633929669
Томская область,70.0,1039728,6.732530046319807
Республика Бурятия,43.0,971139,4.42779046047991
Республика Саха (Якутия),62.0,1006561,6.1595869500209135
Забайкальский край,57.0,983838,5.793636757271014
Камчатский край,32.0,288200,11.103400416377516
Приморский край,83.0,1799659,4.611984826014262
Хабаровский край,70.0,1273488,5.496714535197818
Амурская область,43.0,753046,5.7101425410931075
Магаданская область,7.0,134544,5.202758948745392
Сахалинская область,37.0,457597,8.085717345174903
Еврейская автономная область,16.0,144428,11.07818428559559
Чукотский автономный округ,1.0,47778,2.093013520867345
