region,value
Алтайский край,111
Амурская область,50
Архангельская область,48
Архангельская область (кроме Ненецкого автономного округа),46
Астраханская область,34
Белгородская область,46
Брянская область,52
Владимирская область,62
Волгоградская область,84
Вологодская область,53
Воронежская область,77
Еврейская автономная область,16
Забайкальский край,55
Ивановская область,53
Иркутская область,88
Кабардино-Балкарская Республика,35
Калининградская область,53
Калужская область,36
Камчатский край,32
Карачаево-Черкесская Республика,19
Кемеровская область,82
Кировская область,70
Костромская область,41
Краснодарский край,166
Красноярский край,124
Курганская область,31
Курская область,47
Ленинградская область,50
Липецкая область,45
Магаданская область,7
Московская область,156
Мурманская область,38
Ненецкий автономный округ,2
Нижегородская область,133
Новгородская область,34
Новосибирская область,109
Омская область,84
Оренбургская область,62
Орловская область,37
Пензенская область,43
Пермский край,72
Приморский край,83
Псковская область,40
Республика Адыгея,23
Республика Алтай,17
Республика Башкортостан,96
Республика Бурятия,44
Республика Дагестан,122
Республика Ингушетия,16
Республика Калмыкия,23
Республика Карелия,33
Республика Коми,45
Республика Крым,66
Республика Марий Эл,28
Республика Мордовия,36
Республика Саха (Якутия),57
Республика Северная Осетия - Алания,40
Республика Татарстан,92
Республика Тыва,29
Республика Хакасия,25
Ростовская область,125
Рязанская область,41
Самарская область,88
Саратовская область,100
Сахалинская область,45
Свердловская область,149
Смоленская область,37
Ставропольский край,83
Тамбовская область,45
Тверская область,72
Томская область,50
Тульская область,59
Тюменская область,117
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа),39
Удмуртская Республика,65
Ульяновская область,60
Хабаровский край,54
Ханты-Мансийский автономный округ-Югра,54
Челябинская область,114
Чеченская Республика,86
Чувашская Республика,46
Чукотский автономный округ,1
Ямало-Ненецкий автономный округ,24
Ярославская область,46
г. Москва,208
г.Санкт-Петербург,123
г.Севастополь,13
